,frame,keypoint,x,y,z
308,14,left_0014,-573.5548338346728,50.23236290267927,1509.4227576343399
309,14,left_0015,-569.7934141644281,53.29357109353735,1539.7371252434605
310,14,left_0016,-560.8625852748498,53.43114162129446,1568.2377347225436
311,14,left_0017,-542.2813834570452,36.8915544472472,1483.621308573765
312,14,left_0018,-542.1001998714182,50.15634324143819,1520.8084355828432
313,14,left_0019,-539.522523501177,53.27003369175228,1547.4700013853706
314,14,left_0020,-531.553448247472,53.25262978022414,1572.4022725650802
315,15,left_0000,-197.7371796366228,-30.940380539777436,1704.6021158246404
316,15,left_0001,-211.79809326429074,-23.722376284826776,1757.4919364433601
317,15,left_0002,-219.69724431284763,3.7047591242040774,1804.2922703889933
318,15,left_0003,-224.06257736473157,31.10357640804324,1836.817092941895
319,15,left_0004,-228.19178235395472,49.65770910857531,1868.3010762501979
320,15,left_0005,-203.2628190332637,47.64969668549664,1796.8874940490214
321,15,left_0006,-215.94819055671036,73.54085599495951,1846.199225230157
322,15,left_0007,-224.3179820201676,82.16098903489201,1873.901283287792
323,15,left_0008,-229.8994618981344,86.97646283437133,1893.8477142010408
324,15,left_0009,-196.52710758423143,54.58578488198603,1778.4874453790474
325,15,left_0010,-209.14634408034158,77.7231636527886,1827.9870602539768
326,15,left_0011,-216.93535717141876,82.8836741224631,1855.473933719167
327,15,left_0012,-221.64002122017,84.29316896826352,1876.1259311513238
328,15,left_0013,-193.1898842889367,53.57739519769142,1765.3379049273867
329,15,left_0014,-203.17087783964843,73.23446194465542,1812.5205615372884
330,15,left_0015,-210.00615219084597,78.90064962459495,1838.705691459384
331,15,left_0016,-213.68553446975002,80.89299663258382,1859.2692268676121
332,15,left_0017,-193.65668013686007,47.961452957027646,1756.151538070266
333,15,left_0018,-200.65382217834815,63.91359454101588,1796.5067312053736
334,15,left_0019,-204.24833711959667,69.09730772233857,1821.8632246109491
335,15,left_0020,-205.78001345658552,70.67037770913817,1840.7368058783345
336,16,left_0000,-582.2156139301653,-38.690891144102274,1423.0705327696112
337,16,left_0001,-620.3144365391705,-46.99271224818377,1444.351931995453
338,16,left_0002,-634.4886833918856,-27.747428548586576,1476.4029555200436
339,16,left_0003,-632.1491676760821,-3.5639487372813243,1507.4698879303126
340,16,left_0004,-630.4862068484473,12.14085780421874,1535.776907619442
341,16,left_0005,-626.4700725533766,17.74230119467884,1466.9668238653774
342,16,left_0006,-631.7857395139455,36.38591589444528,1508.6683276036322
343,16,left_0007,-631.2493227718577,41.50115029272202,1537.7145296105675
344,16,left_0008,-629.2568217460404,43.65804025291293,1559.5765308417797
345,16,left_0009,-600.2914495929731,30.71737627279992,1469.5673762275387
346,16,left_0010,-607.2930982632621,45.58151605437593,1510.3585158151493
347,16,left_0011,-603.3591847340258,46.53755266261549,1541.056366029106
348,16,left_0012,-593.0964392937778,45.36591987254009,1569.9289587936066
349,16,left_0013,-572.3663105695491,36.05607892478344,1479.2350227271247
350,16,left_0014,-576.4326937111284,48.40594990605635,1519.9900101675576
351,16,left_0015,-572.7398743103312,49.871582342677875,1549.532332946121
352,16,left_0016,-563.6050377954666,48.99180153707444,1577.2070427003193
353,16,left_0017,-545.9378892003757,36.82570605548746,1492.5722479794308
354,16,left_0018,-545.2797799530781,48.72261966502681,1530.6214111670452
355,16,left_0019,-542.4279784023245,50.61361125378743,1557.1896826069374
356,16,left_0020,-534.590167194831,49.59657369321285,1581.0523475118946
357,17,left_0000,-203.89033593713316,-27.85426742448866,1715.277973021827
358,17,left_0001,-216.62499981772555,-25.47633551856306,1768.1643380730663
359,17,left_0002,-225.17810173137084,0.12623199923393066,1816.4355832519038
360,17,left_0003,-229.59335786463575,28.64522864328114,1848.1115665715824
361,17,left_0004,-233.76267883633108,47.36805365659735,1876.3139131607995
362,17,left_0005,-213.17795505786816,45.09959211145311,1807.5096143161431
363,17,left_0006,-225.26384150520676,70.67007537749431,1854.30223886907
364,17,left_0007,-233.98934692244467,78.28365837602917,1880.2403559001943
365,17,left_0008,-239.65886345112733,82.59918025053767,1898.6183318049048
366,17,left_0009,-208.07382540475146,53.653162483108304,1787.7401615405495
367,17,left_0010,-219.98213219278304,74.66879725207005,1835.4865083630586
368,17,left_0011,-226.2492431677265,75.93615633883213,1859.6642539652578
369,17,left_0012,-228.56102664381166,75.3300866923783,1876.9339169619534
370,17,left_0013,-204.84787045581675,53.95002002242004,1773.567155842543
371,17,left_0014,-214.32506994655006,70.35863358978226,1819.0090194603283
372,17,left_0015,-219.20460902483077,71.84999280402216,1841.920378636729
373,17,left_0016,-220.221697300279,71.1034207711284,1858.3294451502109
374,17,left_0017,-203.20299314058445,49.90008465952793,1764.2559777400832
375,17,left_0018,-209.02611415917377,63.538687731804934,1803.8735499332274
376,17,left_0019,-212.10472965155822,65.38169891125287,1826.1138159933705
377,17,left_0020,-212.5067588771811,64.5880341480043,1840.983907068021
378,18,left_0000,-588.3938974427351,-44.83213903884472,1431.6911901033557
379,18,left_0001,-623.8390568126376,-54.64874025719041,1455.3128963265306
380,18,left_0002,-635.3485458976988,-36.71189691753389,1488.774613359956
381,18,left_0003,-630.3660344607993,-12.018618323266884,1521.2616830200534
382,18,left_0004,-627.6336778841927,5.1057699448069,1548.1685204135956
383,18,left_0005,-629.782563406669,7.494764071077659,1477.8632152327489
384,18,left_0006,-630.6517956295941,29.635711067655237,1522.3298526787235
385,18,left_0007,-628.1875651656417,34.42448739910172,1551.3776919038926
386,18,left_0008,-624.1325021090253,36.2792997146773,1573.584868331838
